Unnamed: 0,Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Brand,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
24,Brown Leather Jacket,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,1/1/2014,30,Goodwill,Secondhand,,,coat/jacket,long sleeve,,,Outerwear
25,Red Hilfiger Coat,,,,,,,,,,1,,,1.0,,,,,,,1.0,1.0,,1/1/2013,50,Macy's,Fast Fashion,,,coat/jacket,long sleeve,,,Outerwear
0,Black Leather Open-Toed Sandals,1.0,,2.0,7.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,10/5/2019,18,Nordstrom Rack ,Fast Fashion,,,sandals,,,,Shoes
1,Brown Leather Trevi Flats,,1.0,3.0,1.0,1.0,5.0,,3.0,,,,,,,,,,,,,,,3/21/2020,108,Crupon,Slow Fashion ,,,flats,,,,Shoes
2,Black Leather Iris Loafers,,1.0,3.0,2.0,2.0,2.0,6.0,6.0,,,,,,,,,,,,,,,3/21/2020,94,Crupon,Slow Fashion,,,flats,,,,Shoes
3,Blue Leather Sneakers,2.0,3.0,4.0,1.0,3.0,,1.0,1.0,1.0,8.0,8.0,12.0,9.0,,,,,,,,,,10/9/2019,105,Vivobarefoot/Online,Slow Fashion,,,sneakers,,,,Shoes
4,White Tennis Sneakers,1.0,1.0,3.0,5.0,1.0,12.0,3.0,9.0,2.0,,,,,,,,,,,,,,2/17/2020,120,Vivobarefoot/Online,Slow Fashion,,,sneakers,,,,Shoes
5,Brown Leather Chukka Boots,,,,,,1.0,,,6.0,6.0,3.0,8.0,14.0,4.0,12.0,,,,,,,,8/1/2019,110,Vivobarefoot/Online,Slow Fashion,,,boots,,,,Shoes
6,Black Lace-up Boots,,,,,,,1.0,1.0,6.0,13.0,1.0,,,,,,,,,,,,12/30/2019,198,Drifter Leather,Slow Fashion,,,boots,,,,Shoes
7,Black Leather Combat Boots,4.0,2.0,,,,,1.0,,5.0,1.0,7.0,9.0,7.0,10.0,,,,,3.0,14.0,1.0,16.0,1/1/2015,80,Rack Room/DSW,Fast Fashion,,94.0,boots,,,,Shoes
8,Brown Leather Hiking Boots,5.0,1.0,,,1.0,,2.0,4.0,13.0,11.0,8.0,,,,,,,,,,,,12/2/2019,112,Lems Shoes,Slow Fashion,,,boots,,,,Shoes
